level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1000	760	-1	
2	1	1	0	0	0	41	45	404	88	-1	
3	1	1	1	0	0	41	45	404	88	-1	
4	1	1	1	1	0	42	45	308	25	-1	
5	1	1	1	1	1	42	46	11	12	93.144821	*
5	1	1	1	1	2	73	45	137	25	96.178703	Esselunga
5	1	1	1	1	3	230	46	85	24	92.676704	S.p.A.
5	1	1	1	1	4	339	46	11	12	92.676704	*
4	1	1	1	2	0	41	79	404	20	-1	
5	1	1	1	2	1	41	79	43	20	93.160583	VIA
5	1	1	1	2	2	106	80	21	19	91.687401	ROMA
5	1	1	1	2	3	152	79	106	20	96.460220	00
5	1	1	1	2	4	277	80	28	19	93.302689	-
5	1	1	1	2	5	326	91	7	2	93.155365	CITTA
5	1	1	1	2	6	354	79	91	20	96.601318	x
4	1	1	1	3	0	42	114	263	19	-1	
5	1	1	1	3	1	42	114	70	19	91.691223	P.I.:
5	1	1	1	3	2	136	114	169	19	96.499962	04916380159
2	1	2	0	0	0	41	182	561	495	-1	
3	1	2	1	0	0	41	182	561	495	-1	
4	1	2	1	1	0	480	182	59	19	-1	
5	1	2	1	1	1	480	182	59	19	96.883575	EURO
4	1	2	1	2	0	42	216	497	22	-1	
5	1	2	1	2	1	42	216	29	19	96.732796	IL
5	1	2	1	2	2	89	216	70	19	96.542892	RACC.
5	1	2	1	2	3	183	216	76	19	96.487122	POWER
5	1	2	1	2	4	276	216	45	19	96.049545	MIX
5	1	2	1	2	5	480	216	59	22	95.917664	0,99
4	1	2	1	3	0	42	250	497	22	-1	
5	1	2	1	3	1	42	250	153	19	91.929825	CLEMENTINE
5	1	2	1	3	2	215	250	91	19	96.474915	FOGLIA
5	1	2	1	3	3	480	250	59	22	96.075157	0,61
4	1	2	1	4	0	42	284	497	22	-1	
5	1	2	1	4	1	42	284	137	19	92.823868	SACCHETTO
5	1	2	1	4	2	199	284	152	19	89.566109	COMPOST.LE
5	1	2	1	4	3	480	284	59	22	95.236046	0,01
4	1	2	1	5	0	42	318	497	22	-1	
5	1	2	1	5	1	42	318	153	19	92.991150	CLEMENTINE
5	1	2	1	5	2	214	318	45	19	96.482346	IGP
5	1	2	1	5	3	278	318	42	22	95.907501	1,5
5	1	2	1	5	4	339	318	28	19	96.772369	KG
5	1	2	1	5	5	480	318	59	22	96.797142	2,98
4	1	2	1	6	0	41	352	498	22	-1	
5	1	2	1	6	1	41	352	91	19	96.476555	ARANCE
5	1	2	1	6	2	480	352	59	22	95.661819	0,65
4	1	2	1	7	0	42	386	497	22	-1	
5	1	2	1	7	1	42	386	137	19	92.823868	SACCHETTO
5	1	2	1	7	2	199	386	152	19	89.566109	COMPOST.LE
5	1	2	1	7	3	480	386	59	22	95.236046	0,01
4	1	2	1	8	0	41	454	529	22	-1	
5	1	2	1	8	1	41	454	91	19	96.544006	TOTALE
5	1	2	1	8	2	152	454	59	19	96.218491	EURO
5	1	2	1	8	3	480	454	59	22	91.642387	5,25
5	1	2	1	8	4	559	454	11	12	91.481445	*
4	1	2	1	9	0	42	487	497	25	-1	
5	1	2	1	9	1	42	488	137	24	96.708397	Pagamento
5	1	2	1	9	2	199	488	73	19	96.677666	Carta
5	1	2	1	9	3	293	487	27	20	93.288773	di
5	1	2	1	9	4	339	488	44	19	92.998169	Cre
5	1	2	1	9	5	480	488	59	22	95.338440	5,25
4	1	2	1	10	0	42	556	528	22	-1	
5	1	2	1	10	1	42	556	75	19	96.256279	RESTO
5	1	2	1	10	2	480	556	59	22	92.500443	0,00
5	1	2	1	10	3	559	556	11	12	92.500443	*
4	1	2	1	11	0	42	590	560	19	-1	
5	1	2	1	11	1	42	590	23	19	96.361412	N.
5	1	2	1	11	2	89	590	76	19	93.306091	CARTA
5	1	2	1	11	3	184	590	100	19	92.158638	FIDATY:
5	1	2	1	11	4	418	590	184	19	0.000000	00XX*XX***00
4	1	2	1	12	0	44	624	430	19	-1	
5	1	2	1	12	1	44	635	38	2	91.128265	---
5	1	2	1	12	2	105	624	75	19	96.443634	NUOVA
5	1	2	1	12	3	199	624	122	19	96.056793	RACCOLTA
5	1	2	1	12	4	339	624	74	19	89.321754	PUNTI
5	1	2	1	12	5	435	635	39	2	89.321754	---
4	1	2	1	13	0	42	658	497	19	-1	
5	1	2	1	13	1	42	658	75	19	96.577858	SALDO
5	1	2	1	13	2	135	658	29	19	96.516190	PUNTI
5	1	2	1	13	3	182	658	59	19	96.466644	0.000
5	1	2	1	13	4	261	658	74	19	96.864403	x
5	1	2	1	13	5	465	658	74	19	96.007607	x
2	1	3	0	0	0	42	692	497	19	-1	
3	1	3	1	0	0	42	692	497	19	-1	
4	1	3	1	1	0	42	692	497	19	-1	
5	1	3	1	1	1	42	692	75	19	96.771759	SALDO
5	1	3	1	1	2	136	692	75	19	96.104721	PUNTI
5	1	3	1	1	3	230	692	74	19	96.104721	0.000
5	1	3	1	1	4	465	692	74	19	96.540001	x
