level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1110	3028	-1	
2	1	1	0	0	0	207	140	220	15	-1	
3	1	1	1	0	0	207	140	220	15	-1	
4	1	1	1	1	0	207	140	220	15	-1	
5	1	1	1	1	1	207	144	54	11	45.385227	=*
5	1	1	1	1	2	325	143	9	9	53.867035	a
5	1	1	1	1	3	348	140	79	15	38.352905	te
2	1	2	0	0	0	224	155	374	7	-1	
3	1	2	1	0	0	224	155	374	7	-1	
4	1	2	1	1	0	224	155	374	7	-1	
5	1	2	1	1	1	224	155	374	7	95.000000	 
2	1	3	0	0	0	256	264	598	105	-1	
3	1	3	1	0	0	256	264	598	105	-1	
4	1	3	1	1	0	406	264	448	48	-1	
5	1	3	1	1	1	406	270	12	15	81.814346	w
5	1	3	1	1	2	438	264	145	26	96.699745	ESSELUNGA
5	1	3	1	1	3	602	265	90	24	89.050240	S.p.A.
5	1	3	1	1	4	717	266	11	18	72.542778	*
5	1	3	1	1	5	806	275	48	37	44.373253	cate
4	1	3	1	2	0	256	291	548	39	-1	
5	1	3	1	2	1	256	307	47	23	96.835052	VIA
5	1	3	1	2	2	322	307	110	23	96.835052	ROMA
5	1	3	1	2	3	454	307	12	23	96.779999	00
5	1	3	1	2	4	487	305	159	24	96.865059	-
5	1	3	1	2	5	666	306	12	22	93.277649	CITTA
5	1	3	1	2	6	700	314	10	4	90.523064	x
5	1	3	1	2	7	731	291	73	34	88.379356	x
4	1	3	1	3	0	438	346	259	23	-1	
5	1	3	1	3	1	438	346	57	23	96.025002	P.I:
5	1	3	1	3	2	520	346	177	23	96.768120	04916380159
2	1	4	0	0	0	374	425	389	68	-1	
3	1	4	1	0	0	374	425	389	68	-1	
4	1	4	1	1	0	390	425	340	29	-1	
5	1	4	1	1	1	390	426	144	28	96.383171	DOCUMENTO
5	1	4	1	1	2	553	425	177	25	95.801956	COMMERCIALE
4	1	4	1	2	0	374	464	389	29	-1	
5	1	4	1	2	1	374	470	27	23	96.923973	DI
5	1	4	1	2	2	422	467	112	25	92.326622	VENDITA
5	1	4	1	2	3	553	465	14	22	73.102707	0
5	1	4	1	2	4	586	464	177	24	96.652725	PRESTAZIONE
2	1	5	0	0	0	929	46	163	2102	-1	
3	1	5	1	0	0	929	46	163	2102	-1	
4	1	5	1	1	0	929	46	163	2102	-1	
5	1	5	1	1	1	929	46	163	2102	95.000000	 
2	1	6	0	0	0	91	586	821	1890	-1	
3	1	6	1	0	0	91	586	821	1890	-1	
4	1	6	1	1	0	688	586	177	25	-1	
5	1	6	1	1	1	688	586	45	25	84.239609	IVA
5	1	6	1	1	2	802	587	63	23	72.042969	EURO
4	1	6	1	2	0	208	626	658	34	-1	
5	1	6	1	2	1	208	638	63	22	93.192329	YOGA
5	1	6	1	2	2	291	633	261	27	92.369995	NETT.ALBICOCCAIL
