level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1140	1660	-1	
2	1	1	0	0	0	47	19	1073	30	-1	
3	1	1	1	0	0	47	19	1073	30	-1	
4	1	1	1	1	0	47	19	1073	30	-1	
5	1	1	1	1	1	47	19	1073	30	95.000000	 
2	1	2	0	0	0	533	46	433	24	-1	
3	1	2	1	0	0	533	46	433	24	-1	
4	1	2	1	1	0	533	46	433	24	-1	
5	1	2	1	1	1	533	46	433	24	95.000000	 
2	1	3	0	0	0	133	49	456	103	-1	
3	1	3	1	0	0	133	49	456	103	-1	
4	1	3	1	1	0	133	49	456	103	-1	
5	1	3	1	1	1	133	49	456	103	54.651585	je
2	1	4	0	0	0	226	169	774	135	-1	
3	1	4	1	0	0	226	169	774	135	-1	
4	1	4	1	1	0	384	169	191	41	-1	
5	1	4	1	1	1	384	173	15	15	86.917999	*
5	1	4	1	1	2	421	169	154	41	96.471008	ESSELUNGA
4	1	4	1	2	0	595	180	392	47	-1	
5	1	4	1	2	1	595	180	96	47	88.549561	S.P.A.
5	1	4	1	2	2	716	197	14	19	50.477882	»
4	1	4	1	3	0	226	198	774	83	-1	
5	1	4	1	3	1	226	224	45	23	64.193665	VIA
5	1	4	1	3	2	293	210	158	71	17.691223	ROMA
5	1	4	1	3	3	472	218	170	39	96.425926	00
5	1	4	1	3	4	663	235	14	24	93.217224	-
5	1	4	1	3	5	697	247	13	4	92.692474	CITTA
5	1	4	1	3	6	731	226	158	36	77.877159	x
5	1	4	1	3	7	986	198	14	16	46.533478	x
4	1	4	1	4	0	442	262	254	42	-1	
5	1	4	1	4	1	442	262	39	26	60.078232	«I:
5	1	4	1	4	2	507	269	189	35	92.371643	04916380159
2	1	5	0	0	0	991	524	41	314	-1	
3	1	5	1	0	0	991	524	41	314	-1	
4	1	5	1	1	0	991	524	41	314	-1	
5	1	5	1	1	1	991	524	41	314	95.000000	 
2	1	6	0	0	0	160	1213	3	47	-1	
3	1	6	1	0	0	160	1213	3	47	-1	
4	1	6	1	1	0	160	1213	3	47	-1	
5	1	6	1	1	1	160	1213	3	47	95.000000	 
2	1	7	0	0	0	44	345	986	1023	-1	
3	1	7	1	0	0	44	345	986	1023	-1	
4	1	7	1	1	0	342	345	688	93	-1	
5	1	7	1	1	1	342	345	180	88	25.379234	sere
5	1	7	1	1	2	543	363	189	75	0.000000	cem
5	1	7	1	1	3	992	347	38	68	22.446602	|
4	1	7	1	2	0	648	412	380	39	-1	
5	1	7	1	2	1	648	413	121	28	96.618042	TAZIONE
5	1	7	1	2	2	1016	412	12	39	85.468552	3
4	1	7	1	3	0	140	551	742	66	-1	
5	1	7	1	3	1	140	586	135	31	78.996620	SHOPPER
5	1	7	1	3	2	688	551	194	30	0.000000	DAFRIEORO
4	1	7	1	4	0	135	597	749	75	-1	
5	1	7	1	4	1	135	637	118	32	94.571587	FRESCO
5	1	7	1	4	2	277	639	96	30	53.099857	PESTO
5	1	7	1	4	3	396	642	53	30	84.408615	ATA
5	1	7	1	4	4	707	597	177	30	24.452362	OI
4	1	7	1	5	0	708	643	179	30	-1	
5	1	7	1	5	1	708	651	32	22	59.883636	*c
5	1	7	1	5	2	817	643	70	30	96.712288	4,69
4	1	7	1	6	0	131	689	759	33	-1	
5	1	7	1	6	1	131	689	37	31	97.004463	DE
5	1	7	1	6	2	195	690	97	30	93.282486	CECCO
5	1	7	1	6	3	316	691	208	31	92.703262	FETTUCCELLE
5	1	7	1	6	4	710	698	33	23	60.232803	xa
5	1	7	1	6	5	819	690	71	30	67.277359	0,99
4	1	7	1	7	0	128	738	765	35	-1	
5	1	7	1	7	1	128	742	184	31	92.253761	SFILATINO
5	1	7	1	7	2	336	743	132	29	95.134796	MORBIDO
5	1	7	1	7	3	713	746	32	23	46.290344	xa
5	1	7	1	7	4	823	738	70	31	46.290344	1,86
4	1	7	1	8	0	124	787	772	41	-1	
5	1	7	1	8	1	124	795	102	33	92.067490	MUTTI
5	1	7	1	8	2	253	794	98	31	94.284241	POLPA
5	1	7	1	8	3	395	793	74	31	84.822235	TRIS
5	1	7	1	8	4	492	792	47	30	89.597015	GRI
5	1	7	1	8	5	714	794	33	23	53.125015	sa
5	1	7	1	8	6	824	787	72	30	60.865093	3,59
4	1	7	1	9	0	122	835	776	46	-1	
5	1	7	1	9	1	122	850	76	31	94.081299	ESS.
5	1	7	1	9	2	230	847	79	32	93.277374	PIPE
5	1	7	1	9	3	334	842	211	34	68.286400	RIGATEGR500
5	1	7	1	9	4	716	842	33	24	71.709099	xa
5	1	7	1	9	5	827	835	71	31	71.709099	0,65
4	1	7	1	10	0	120	884	779	53	-1	
5	1	7	1	10	1	120	903	125	34	43.355301	FINOUS
5	1	7	1	10	2	271	900	72	32	0.000000	FIL.
5	1	7	1	10	3	357	894	151	34	0.000000	MERLUZZO
5	1	7	1	10	4	718	892	34	23	15.930626	#c
5	1	7	1	10	5	828	884	71	31	68.148010	4,99
4	1	7	1	11	0	118	933	784	60	-1	
5	1	7	1	11	1	118	956	126	37	88.113884	FINDUS
5	1	7	1	11	2	270	932	72	65	25.268181	FII..
5	1	7	1	11	3	363	945	146	37	96.201218	MERLUZZO
5	1	7	1	11	4	722	942	33	23	59.230194	x
5	1	7	1	11	5	831	933	71	31	59.317875	4,99
4	1	7	1	12	0	115	983	793	65	-1	
5	1	7	1	12	1	115	1016	63	32	93.080727	UVA
5	1	7	1	12	2	204	1006	144	38	85.499680	FRAGOIA
5	1	7	1	12	3	723	992	35	25	78.365028	*a
5	1	7	1	12	4	836	983	72	32	63.781136	3,68
4	1	7	1	13	0	876	1139	73	36	-1	
5	1	7	1	13	1	876	1139	22	36	57.660324	RA
4	1	7	1	14	0	110	1138	840	127	-1	
5	1	7	1	14	1	110	1187	131	78	66.024261	TOTALE
5	1	7	1	14	2	265	1182	83	71	75.616653	EURO
5	1	7	1	14	3	819	1138	131	116	23.049530	584
4	1	7	1	15	0	44	1272	279	37	-1	
5	1	7	1	15	1	44	1290	4	19	58.667988	|
5	1	7	1	15	2	108	1287	36	20	96.881454	di
5	1	7	1	15	3	179	1282	53	20	94.634224	cui
5	1	7	1	15	4	265	1272	58	27	95.663719	IVA
4	1	7	1	16	0	820	1332	93	36	-1	
5	1	7	1	16	1	820	1332	93	36	94.311066	25,54
2	1	8	0	0	0	111	1332	530	82	-1	
3	1	8	1	0	0	111	1332	530	82	-1	
4	1	8	1	1	0	458	1332	183	37	-1	
5	1	8	1	1	1	458	1364	10	5	43.033821	_
5	1	8	1	1	2	589	1332	52	32	47.969131	pRO
4	1	8	1	2	0	111	1343	454	71	-1	
5	1	8	1	2	1	111	1373	190	41	95.632751	PAGAMENTO
5	1	8	1	2	2	327	1366	101	34	67.116821	CARTA
5	1	8	1	2	3	453	1343	112	51	20.713333	EIDATY
2	1	9	0	0	0	16	1579	339	58	-1	
3	1	9	1	0	0	16	1579	339	58	-1	
4	1	9	1	1	0	16	1579	339	58	-1	
5	1	9	1	1	1	16	1586	31	51	61.741020	ha
5	1	9	1	1	2	216	1589	63	31	3.399353	Iva
5	1	9	1	1	3	299	1579	56	30	3.399353	09”
2	1	10	0	0	0	44	1609	1048	30	-1	
3	1	10	1	0	0	44	1609	1048	30	-1	
4	1	10	1	1	0	44	1609	1048	30	-1	
5	1	10	1	1	1	44	1609	1048	30	95.000000	 
