level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	716	1240	-1	
2	1	1	0	0	0	102	215	149	15	-1	
3	1	1	1	0	0	102	215	149	15	-1	
4	1	1	1	1	0	102	215	149	15	-1	
5	1	1	1	1	1	102	215	149	15	0.000000	NOAA
5	1	1	1	1	2	221	206	34	28	36.963043	MAN
2	1	2	0	0	0	219	223	423	23	-1	
3	1	2	1	0	0	219	223	423	23	-1	
4	1	2	1	1	0	219	223	423	23	-1	
5	1	2	1	1	1	219	223	423	23	95.000000	 
2	1	3	0	0	0	300	229	342	22	-1	
3	1	3	1	0	0	300	229	342	22	-1	
4	1	3	1	1	0	300	229	342	22	-1	
5	1	3	1	1	1	300	229	342	22	95.000000	 
2	1	4	0	0	0	137	244	419	39	-1	
3	1	4	1	0	0	137	244	419	39	-1	
4	1	4	1	1	0	137	244	113	18	-1	
5	1	4	1	1	1	137	244	113	18	4.851524	en
4	1	4	1	2	0	183	247	373	36	-1	
5	1	4	1	2	1	183	247	55	14	0.000000	ECG
5	1	4	1	2	2	264	252	105	23	40.658859	INTIMI
5	1	4	1	2	3	381	260	21	19	84.619492	TO
5	1	4	1	2	4	413	261	91	22	27.066872	YIMIIDA
5	1	4	1	2	5	516	270	40	10	36.137611	eee.
2	1	5	0	0	0	71	437	591	611	-1	
3	1	5	1	0	0	71	437	591	607	-1	
4	1	5	1	1	0	272	437	214	27	-1	
5	1	5	1	1	1	272	442	9	10	90.468651	*
5	1	5	1	1	2	294	437	102	25	93.021179	ESSELUNGA
5	1	5	1	1	3	406	442	80	22	83.604507	S.p.A.*
4	1	5	1	2	0	234	467	302	25	-1	
5	1	5	1	2	1	234	467	37	21	92.448921	VIA
5	1	5	1	2	2	282	468	20	21	92.448921	ROMA
5	1	5	1	2	3	317	469	74	23	96.616241	00
5	1	5	1	2	4	406	472	24	20	93.285233	-
5	1	5	1	2	5	442	480	9	4	93.214264	CITTA
5	1	5	1	2	6	464	471	72	20	96.805077	x
4	1	5	1	3	0	282	499	195	24	-1	
5	1	5	1	3	1	282	499	55	22	90.438988	P.I.:
5	1	5	1	3	2	351	501	126	22	93.508926	04916380159
4	1	5	1	4	0	535	561	49	21	-1	
5	1	5	1	4	1	535	561	49	21	83.142281	EURO
4	1	5	1	5	0	81	592	503	24	-1	
5	1	5	1	5	1	81	593	24	23	79.885834	TL
5	1	5	1	5	2	120	594	59	21	93.642586	RACC.
5	1	5	1	5	3	196	593	61	21	96.271263	POWER
5	1	5	1	5	4	269	593	34	21	93.564156	MIX
5	1	5	1	5	5	536	592	48	23	95.781456	0,99
4	1	5	1	6	0	81	623	502	32	-1	
5	1	5	1	6	1	81	626	125	23	86.165642	CLEMENTINE
5	1	5	1	6	2	220	625	92	30	55.302132	FOGLIA,
5	1	5	1	6	3	535	623	48	23	85.486984	0,61
4	1	5	1	7	0	83	653	501	29	-1	
5	1	5	1	7	1	83	658	112	24	92.878510	SACCHETTO
5	1	5	1	7	2	208	653	128	23	41.871677	COMPOST.LE”
5	1	5	1	7	3	535	654	49	23	93.493584	0,01
4	1	5	1	8	0	83	684	501	30	-1	
5	1	5	1	8	1	83	688	123	26	90.219742	CLEMENTINE
5	1	5	1	8	2	222	686	33	21	23.541153	TGP
5	1	5	1	8	3	269	684	32	23	87.624733	1,5
5	1	5	1	8	4	312	684	24	19	79.440765	KG
5	1	5	1	8	5	536	685	48	22	91.365761	2,98
4	1	5	1	9	0	78	713	506	40	-1	
5	1	5	1	9	1	78	713	84	40	96.911629	ARANCE
5	1	5	1	9	2	269	740	30	2	38.916302	a
5	1	5	1	9	3	536	716	48	22	95.780190	0,65
4	1	5	1	10	0	82	739	500	30	-1	
5	1	5	1	10	1	82	750	113	19	93.298080	SACCHETTO
5	1	5	1	10	2	207	739	116	27	47.372276	COMPOSTELE
5	1	5	1	10	3	536	746	46	23	93.780945	0,01
4	1	5	1	11	0	104	832	519	51	-1	
5	1	5	1	11	1	104	833	76	41	79.413528	TOTALE
5	1	5	1	11	2	190	832	50	42	77.898697	ERO
5	1	5	1	11	3	550	836	73	47	40.899300	9,01
4	1	5	1	12	0	101	885	499	31	-1	
5	1	5	1	12	1	101	888	113	22	96.707077	PAGAMENTO
5	1	5	1	12	2	226	887	60	22	96.741364	CARTA
5	1	5	1	12	3	298	885	22	23	95.840820	DI
5	1	5	1	12	4	333	886	36	22	95.840820	CRE
5	1	5	1	12	5	550	891	50	25	96.059097	5,25
4	1	5	1	13	0	94	951	528	34	-1	
5	1	5	1	13	1	94	951	68	34	96.674461	RESTO
5	1	5	1	13	2	338	955	6	10	0.000000	s
5	1	5	1	13	3	550	955	50	23	95.927856	0,00
5	1	5	1	13	4	613	964	9	10	72.738495	x
4	1	5	1	14	0	71	997	591	51	-1	
5	1	5	1	14	1	71	1021	22	21	88.710693	N.
5	1	5	1	14	2	110	1017	64	23	93.299469	CARTA
5	1	5	1	14	3	186	1016	82	22	91.635612	FIDATY:
5	1	5	1	14	4	476	997	111	51	0.000000	00XX*XX***00
5	1	5	1	14	5	616	997	26	51	9.769806	x
5	1	5	1	14	6	654	1001	8	3	85.163780	x
2	1	6	0	0	0	69	1075	593	121	-1	
3	1	6	1	0	0	69	1075	593	121	-1	
4	1	6	1	1	0	246	1075	242	28	-1	
5	1	6	1	1	1	246	1080	62	21	95.711632	NUOVA
5	1	6	1	1	2	320	1075	94	25	91.393387	RACCOLTA
5	1	6	1	1	3	427	1079	61	24	96.260506	PUNTI
4	1	6	1	2	0	70	1111	565	29	-1	
5	1	6	1	2	1	70	1115	64	25	96.984612	SALDO
5	1	6	1	2	2	146	1113	26	22	96.683578	PUNTI
5	1	6	1	2	3	184	1111	47	22	93.755127	0.000
5	1	6	1	2	4	246	1112	60	22	96.925674	x
5	1	6	1	2	5	576	1116	59	22	94.382172	x
4	1	6	1	3	0	69	1142	564	33	-1	
5	1	6	1	3	1	69	1148	65	24	95.762177	SALDO
5	1	6	1	3	2	143	1144	65	29	95.909454	PUNTI
5	1	6	1	3	3	221	1142	58	33	96.450844	0.000
5	1	6	1	3	4	576	1146	57	22	80.054443	x
4	1	6	1	4	0	73	1168	589	28	-1	
5	1	6	1	4	1	73	1176	6	1	0.000000	°
5	1	6	1	4	2	265	1168	397	28	48.709908	TT
