level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1730	3132	-1	
2	1	1	0	0	0	749	26	812	72	-1	
3	1	1	1	0	0	749	26	812	72	-1	
4	1	1	1	1	0	749	26	812	72	-1	
5	1	1	1	1	1	749	26	812	72	95.000000	 
2	1	2	0	0	0	26	930	696	829	-1	
3	1	2	1	0	0	26	930	696	829	-1	
4	1	2	1	1	0	26	930	563	73	-1	
5	1	2	1	1	1	26	930	563	73	95.000000	  
4	1	2	1	2	0	26	1003	696	756	-1	
5	1	2	1	2	1	26	1003	696	756	95.000000	  
2	1	3	0	0	0	30	164	1547	2878	-1	
3	1	3	1	0	0	30	164	1547	2878	-1	
4	1	3	1	1	0	119	164	587	32	-1	
5	1	3	1	1	1	119	184	9	3	40.145267	x
5	1	3	1	1	2	377	164	98	30	32.714661	==
5	1	3	1	1	3	623	176	20	6	86.910866	—
5	1	3	1	1	4	648	164	58	32	13.550751	SS
4	1	3	1	2	0	176	195	1160	54	-1	
5	1	3	1	2	1	176	200	298	46	0.000000	==-e=
5	1	3	1	2	2	613	195	93	54	46.062313	=D
5	1	3	1	2	3	975	218	15	20	35.740211	*
5	1	3	1	2	4	1011	215	162	30	96.851746	ESSELUNGA
5	1	3	1	2	5	1193	210	101	33	83.320747	S.p.A.
5	1	3	1	2	6	1320	208	16	21	86.464882	*
4	1	3	1	3	0	264	226	1230	66	-1	
5	1	3	1	3	1	264	226	142	38	60.875824	VIA
5	1	3	1	3	2	623	246	83	43	29.696014	ROMA
5	1	3	1	3	3	808	255	52	29	16.916359	00
5	1	3	1	3	4	882	260	124	30	96.895622	-
5	1	3	1	3	5	1028	264	14	27	95.916199	CITTA
5	1	3	1	3	6	1065	262	177	30	95.915596	x
5	1	3	1	3	7	1264	259	14	27	93.278023	x
5	1	3	1	3	8	1301	268	13	4	91.331619	x
5	1	3	1	3	9	1337	226	157	54	71.919678	x
4	1	3	1	4	0	475	295	823	56	-1	
5	1	3	1	4	1	475	295	232	56	8.747345	SS&
5	1	3	1	4	2	1011	311	64	28	95.510239	P.I:
5	1	3	1	4	3	1102	307	196	33	96.278610	04916380159
4	1	3	1	5	0	451	366	256	41	-1	
5	1	3	1	5	1	451	369	11	5	71.394348	=
5	1	3	1	5	2	665	366	42	41	24.421341	a
4	1	3	1	6	0	654	399	678	49	-1	
5	1	3	1	6	1	654	399	53	49	63.016026	Ss
5	1	3	1	6	2	957	406	160	32	96.968483	DOCUMENTO
5	1	3	1	6	3	1138	403	194	36	96.705078	COMMERCIALE
4	1	3	1	7	0	939	448	430	37	-1	
5	1	3	1	7	1	939	452	30	27	96.904037	DI
5	1	3	1	7	2	993	455	124	29	96.869415	VENDITA
5	1	3	1	7	3	1138	458	15	26	82.542496	0
5	1	3	1	7	4	1174	448	195	37	96.960693	PRESTAZIONE
4	1	3	1	8	0	673	578	802	60	-1	
5	1	3	1	8	1	673	578	35	60	0.000000	$
5	1	3	1	8	2	1284	602	49	28	69.233826	IVA
5	1	3	1	8	3	1408	587	67	36	72.360001	EURO
4	1	3	1	9	0	669	636	805	45	-1	
5	1	3	1	9	1	669	639	39	42	0.000000	—)]
5	1	3	1	9	2	754	639	70	28	93.297600	YOGA
5	1	3	1	9	3	846	641	287	34	90.082794	NETT.ALBICOCCAIL
5	1	3	1	9	4	1302	650	31	26	74.984146	sd
5	1	3	1	9	5	1409	636	65	34	79.330872	1,69
4	1	3	1	10	0	134	677	1375	52	-1	
5	1	3	1	10	1	134	677	12	5	3.408165	È
5	1	3	1	10	2	665	679	232	50	9.303833	SCONTO
5	1	3	1	10	3	919	690	106	28	93.050598	FIDATY
5	1	3	1	10	4	1048	693	50	26	96.779114	30%
5	1	3	1	10	5	1407	680	102	38	45.298668	0,51-S
4	1	3	1	11	0	670	731	802	47	-1	
5	1	3	1	11	1	670	731	38	47	41.742111	3
5	1	3	1	11	2	754	733	70	27	77.100571	YOGA
5	1	3	1	11	3	846	734	288	33	86.520477	NETT.ALBICOCCAIL
5	1	3	1	11	4	1300	743	33	27	21.523659	«ad
5	1	3	1	11	5	1409	731	63	35	81.517601	1,69
4	1	3	1	12	0	88	772	1422	52	-1	
5	1	3	1	12	1	88	798	9	3	43.766418	e
5	1	3	1	12	2	140	772	13	6	23.624489	3
5	1	3	1	12	3	663	783	45	41	53.609497	vw
5	1	3	1	12	4	791	780	106	28	80.198563	SCONTO
5	1	3	1	12	5	919	782	106	29	93.250206	FIDATY
5	1	3	1	12	6	1048	786	50	26	96.661217	30%
5	1	3	1	12	7	1407	778	103	35	39.300556	0,51-5
4	1	3	1	13	0	468	820	1005	56	-1	
5	1	3	1	13	1	468	867	35	9	76.978249	>
5	1	3	1	13	2	680	820	28	56	66.840134	s
5	1	3	1	13	3	753	826	70	28	93.275810	YOGA
5	1	3	1	13	4	845	828	289	33	89.358627	NETT.ALBICOCCAIL
5	1	3	1	13	5	1299	838	33	27	33.955452	*«d
5	1	3	1	13	6	1408	828	65	33	83.858612	1,69
4	1	3	1	14	0	663	874	847	35	-1	
5	1	3	1	14	1	663	877	45	32	40.964775	“3
5	1	3	1	14	2	790	874	107	29	87.423813	SCONTO
5	1	3	1	14	3	919	877	106	29	93.136742	FIDATY
5	1	3	1	14	4	1048	879	49	27	96.691368	30%
5	1	3	1	14	5	1406	876	104	33	48.330894	0,51-S
4	1	3	1	15	0	692	921	782	38	-1	
5	1	3	1	15	1	692	921	16	35	35.758392	3
5	1	3	1	15	2	754	922	325	33	79.654503	CHANT.MILLEMACCHIE
5	1	3	1	15	3	1300	933	31	26	77.496490	*d
5	1	3	1	15	4	1406	926	68	32	76.276855	2,97
4	1	3	1	16	0	678	958	796	53	-1	
5	1	3	1	16	1	755	970	143	30	37.053810	POWERADE
5	1	3	1	16	2	919	973	106	29	96.726799	LIMONE
5	1	3	1	16	3	1299	980	32	26	81.056221	*d
5	1	3	1	16	4	1405	975	69	32	84.082069	0,89
4	1	3	1	17	0	671	1018	804	34	-1	
5	1	3	1	17	1	671	1036	4	3	79.921631	ì
5	1	3	1	17	2	755	1018	143	25	92.652336	POWERADE
5	1	3	1	17	3	920	1021	105	25	92.025810	LIMONE
5	1	3	1	17	4	1299	1027	32	23	92.499443	*d
5	1	3	1	17	5	1406	1022	69	30	96.806442	0,89
4	1	3	1	18	0	752	1056	724	41	-1	
5	1	3	1	18	1	752	1056	88	24	91.242157	FELCE
5	1	3	1	18	2	863	1060	52	22	95.968704	AMM
5	1	3	1	18	3	937	1061	118	24	73.540169	ORCHID.
5	1	3	1	18	4	1065	1064	69	24	95.398895	NERA
5	1	3	1	18	5	1300	1068	33	24	91.462265	*d
5	1	3	1	18	6	1407	1068	69	29	96.111794	3,42
4	1	3	1	19	0	787	1095	726	46	-1	
5	1	3	1	19	1	787	1095	109	26	93.290680	SCONTO
5	1	3	1	19	2	918	1099	107	25	91.993950	FIDATY
5	1	3	1	19	3	1047	1103	51	23	96.898689	30%
5	1	3	1	19	4	1410	1110	103	31	43.960579	1,03-5
4	1	3	1	20	0	747	1136	731	48	-1	
5	1	3	1	20	1	747	1136	147	27	91.908943	POWERADE
5	1	3	1	20	2	917	1141	144	27	94.910332	MOUNTAIN
5	1	3	1	20	3	1302	1153	32	24	92.888611	*d
5	1	3	1	20	4	1409	1157	69	27	96.531372	0,89
4	1	3	1	21	0	746	1179	733	49	-1	
5	1	3	1	21	1	746	1179	147	29	91.464081	POWERADE
5	1	3	1	21	2	916	1184	145	29	96.839432	MOUNTAIN
5	1	3	1	21	3	1303	1196	32	25	92.713257	*d
5	1	3	1	21	4	1410	1200	69	28	95.847160	0,89
4	1	3	1	22	0	744	1225	736	47	-1	
5	1	3	1	22	1	744	1225	54	27	96.822456	ACE
5	1	3	1	22	2	821	1227	164	29	93.288635	PAVIMENTI
5	1	3	1	22	3	1010	1231	124	29	89.861900	TALCOIL
5	1	3	1	22	4	1304	1241	32	25	21.485077	*d
5	1	3	1	22	5	1412	1244	68	28	69.166992	1,86
4	1	3	1	23	0	781	1272	298	32	-1	
5	1	3	1	23	1	781	1272	90	28	93.292480	PUNTI
5	1	3	1	23	2	896	1275	127	29	93.263290	FRAGOLA
5	1	3	1	23	3	1046	1278	33	26	97.004082	20
4	1	3	1	24	0	742	1318	741	44	-1	
5	1	3	1	24	1	742	1318	149	30	48.671265	ZUCCHERO
5	1	3	1	24	2	1305	1335	32	22	91.261620	*c
5	1	3	1	24	3	1415	1333	68	29	96.713249	1,39
4	1	3	1	25	0	741	1367	743	41	-1	
5	1	3	1	25	1	741	1367	35	27	94.147346	OB
5	1	3	1	25	2	799	1368	54	27	92.943817	LAV
5	1	3	1	25	3	875	1369	54	29	92.667107	LIQ
5	1	3	1	25	4	951	1371	128	28	96.400887	MUSCHIO
5	1	3	1	25	5	1101	1373	33	28	96.984047	44
5	1	3	1	25	6	1305	1377	33	26	71.962578	*d
5	1	3	1	25	7	1415	1378	69	30	79.870377	5,99
4	1	3	1	26	0	740	1415	746	38	-1	
