level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1000	658	-1	
2	1	1	0	0	0	41	46	295	53	-1	
3	1	1	1	0	0	41	46	295	53	-1	
4	1	1	1	1	0	42	46	279	19	-1	
5	1	1	1	1	1	42	46	184	19	96.717644	SUPERMERCATO
5	1	1	1	1	2	246	46	75	19	96.404625	PROVA
4	1	1	1	2	0	41	80	295	19	-1	
5	1	1	1	2	1	41	80	45	19	96.365089	VIA
5	1	1	1	2	2	105	80	60	19	96.931870	ROMA
5	1	1	1	2	3	184	80	11	19	93.269501	00
5	1	1	1	2	4	216	91	7	2	91.287277	-
5	1	1	1	2	5	245	80	91	19	96.729988	CITTA
2	1	2	0	0	0	42	148	262	19	-1	
3	1	2	1	0	0	42	148	262	19	-1	
4	1	2	1	1	0	42	148	262	19	-1	
5	1	2	1	1	1	42	148	137	19	96.440216	SCONTRINO
5	1	2	1	1	2	199	148	22	19	96.204460	N.
5	1	2	1	1	3	246	148	58	19	96.426231	0042
2	1	3	0	0	0	41	216	796	328	-1	
3	1	3	1	0	0	41	216	796	328	-1	
4	1	3	1	1	0	43	216	794	22	-1	
5	1	3	1	1	1	43	216	74	19	96.123810	LATTE
5	1	3	1	1	2	136	216	90	19	92.128586	INTERO
5	1	3	1	1	3	247	216	27	19	92.128586	1L
5	1	3	1	1	4	559	216	11	19	96.674812	2
5	1	3	1	1	5	638	216	58	22	96.872055	1,49
5	1	3	1	1	6	778	216	59	22	96.947121	2,98
4	1	3	1	2	0	42	250	795	22	-1	
5	1	3	1	2	1	42	250	59	19	96.074593	PANE
5	1	3	1	2	2	120	250	138	19	96.539673	INTEGRALE
5	1	3	1	2	3	560	250	11	19	93.606445	1
5	1	3	1	2	4	637	250	59	22	96.749840	2,30
5	1	3	1	2	5	778	250	59	22	96.749840	2,30
4	1	3	1	3	0	42	284	795	22	-1	
5	1	3	1	3	1	42	284	85	19	87.429222	PROSC.
5	1	3	1	3	2	140	284	71	19	93.286049	CRUDO
5	1	3	1	3	3	231	284	58	19	92.257584	100G
5	1	3	1	3	4	560	284	11	19	93.606445	1
5	1	3	1	3	5	636	284	60	22	96.677376	4,95
5	1	3	1	3	6	777	284	60	22	96.677376	4,95
4	1	3	1	4	0	41	318	796	22	-1	
5	1	3	1	4	1	41	318	60	19	96.452873	MELE
5	1	3	1	4	2	119	318	92	19	96.397369	GOLDEN
5	1	3	1	4	3	230	318	28	19	96.859520	KG
5	1	3	1	4	4	497	318	74	22	96.403175	1,240
5	1	3	1	4	5	637	318	59	22	96.686493	2,49
5	1	3	1	4	6	778	318	59	22	95.783089	3,09
4	1	3	1	5	0	41	352	796	22	-1	
5	1	3	1	5	1	41	352	92	19	96.396622	YOGURT
5	1	3	1	5	2	151	352	75	19	93.152779	MAGRO
5	1	3	1	5	3	245	352	75	19	91.139435	4X125
5	1	3	1	5	4	559	352	12	19	97.009285	3
5	1	3	1	5	5	638	352	58	22	96.923904	1,15
5	1	3	1	5	6	778	352	59	22	95.805336	3,45
4	1	3	1	6	0	42	386	795	22	-1	
5	1	3	1	6	1	42	386	75	19	93.114433	CAFFE
5	1	3	1	6	2	135	386	123	19	91.324829	MACINATO
5	1	3	1	6	3	277	386	59	19	91.594650	250G
5	1	3	1	6	4	560	386	11	19	93.606445	1
5	1	3	1	6	5	637	386	59	22	96.594490	3,79
5	1	3	1	6	6	778	386	59	22	96.594490	3,79
4	1	3	1	7	0	41	420	796	22	-1	
5	1	3	1	7	1	41	420	60	19	93.284950	OLIO
5	1	3	1	7	2	120	420	101	19	89.937256	EXTRAV.
5	1	3	1	7	3	247	420	27	19	62.782146	1L
5	1	3	1	7	4	560	420	11	19	93.606445	1
5	1	3	1	7	5	637	420	59	22	96.266769	7,90
5	1	3	1	7	6	778	420	59	22	96.266769	7,90
4	1	3	1	8	0	42	454	795	22	-1	
5	1	3	1	8	1	42	454	76	19	96.762100	PASTA
5	1	3	1	8	2	136	454	75	19	93.273163	PENNE
5	1	3	1	8	3	230	454	59	19	92.399193	500G
5	1	3	1	8	4	558	454	13	19	96.981224	4
5	1	3	1	8	5	637	454	59	22	96.389175	0,89
5	1	3	1	8	6	778	454	59	22	96.320717	3,56
4	1	3	1	9	0	41	522	795	22	-1	
5	1	3	1	9	1	41	522	91	19	96.637985	TOTALE
5	1	3	1	9	2	152	522	168	19	96.550339	COMPLESSIVO
5	1	3	1	9	3	762	522	74	22	96.781059	32,02
2	1	4	0	0	0	41	590	310	19	-1	
3	1	4	1	0	0	41	590	310	19	-1	
4	1	4	1	1	0	41	590	310	19	-1	
5	1	4	1	1	1	41	590	169	19	96.228729	ARRIVEDERCI
5	1	4	1	1	2	230	590	12	19	96.963486	E
5	1	4	1	1	3	260	590	91	19	96.503082	GRAZIE
