level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1000	658	-1	
2	1	1	0	0	0	6	29	344	73	-1	
3	1	1	1	0	0	6	29	344	71	-1	
4	1	1	1	1	0	41	29	291	44	-1	
5	1	1	1	1	1	41	29	195	44	87.356392	SUPERMERCATO
5	1	1	1	1	2	246	32	86	34	50.093365	PROVA.
4	1	1	1	2	0	6	79	344	23	-1	
5	1	1	1	2	1	6	86	2	2	12.872986	VIA
5	1	1	1	2	2	39	79	57	43	70.186188	ROMA
5	1	1	1	2	3	103	79	66	25	92.987564	00
5	1	1	1	2	4	183	80	12	19	88.595596	-
5	1	1	1	2	5	216	90	7	3	90.690063	CITTA
5	1	1	1	2	6	244	79	106	25	69.468903	x
2	1	2	0	0	0	22	124	347	68	-1	
3	1	2	1	0	0	22	124	347	68	-1	
4	1	2	1	1	0	22	124	347	68	-1	
5	1	2	1	1	1	22	147	3	24	0.000000	“
5	1	2	1	1	2	42	127	139	65	94.963829	SCONTRINO
5	1	2	1	1	3	195	124	29	67	43.721985	N
5	1	2	1	1	4	243	131	126	39	53.565617	0042
2	1	3	0	0	0	21	201	829	38	-1	
3	1	3	1	0	0	21	201	829	38	-1	
4	1	3	1	1	0	21	201	829	38	-1	
5	1	3	1	1	1	21	203	105	33	44.941998	“LATTE
5	1	3	1	1	2	130	210	97	31	82.936920	INTERO
5	1	3	1	1	3	247	200	197	35	12.543221	ll...
5	1	3	1	1	4	547	209	48	29	49.683189	2°
5	1	3	1	1	5	638	203	95	36	60.252605	1,49
5	1	3	1	1	6	778	216	72	22	77.951767	2,98
2	1	4	0	0	0	12	243	854	321	-1	
3	1	4	1	0	0	17	243	849	102	-1	
4	1	4	1	1	0	17	243	821	34	-1	
5	1	4	1	1	1	17	261	2	2	72.141075	:
5	1	4	1	1	2	37	248	75	27	53.697906	PANE
5	1	4	1	1	3	119	248	154	23	41.769981	INTEGRALE
5	1	4	1	1	4	380	248	191	29	16.838440	‘000/01
5	1	4	1	1	5	637	249	60	26	51.956894	2,30:
5	1	4	1	1	6	769	243	69	29	74.171410	2,308
4	1	4	1	2	0	42	277	795	34	-1	
5	1	4	1	2	1	42	282	170	29	50.130432	PROSC.CGRUDO
5	1	4	1	2	2	231	283	58	20	3.663864	1006.
5	1	4	1	2	3	419	277	21	7	54.907440	a
5	1	4	1	2	4	546	277	185	34	21.653137	L45950
5	1	4	1	2	5	777	277	60	29	74.217644	4,95
4	1	4	1	3	0	40	313	826	32	-1	
5	1	4	1	3	1	40	309	61	29	94.762421	MELE
5	1	4	1	3	2	118	317	94	27	94.747078	GOLDEN
5	1	4	1	3	3	228	317	59	21	51.209610	KG:
5	1	4	1	3	4	352	332	2	2	0.000000	—“@“—»;’
5	1	4	1	3	5	411	323	23	18	0.000000	°—’—
5	1	4	1	3	6	468	313	152	29	5.185059	—’‘1,240°.
5	1	4	1	3	7	637	314	78	31	13.198540	2,49.
5	1	4	1	3	8	778	318	88	22	64.424057	3,09
3	1	4	2	0	0	12	349	831	202	-1	
4	1	4	2	1	0	12	349	825	31	-1	
5	1	4	2	1	1	12	344	130	27	33.827942	‘YOGURT:
5	1	4	2	1	2	150	352	80	27	87.301605	MAGRO
5	1	4	2	1	3	245	349	115	31	0.000000	4X125.
5	1	4	2	1	4	407	353	23	8	44.245064	©
5	1	4	2	1	5	559	351	137	29	24.078812	31,15
5	1	4	2	1	6	778	352	59	23	56.210686	3,45
4	1	4	2	2	0	26	380	817	33	-1	
5	1	4	2	2	1	26	382	91	24	61.075623	CAFFE
5	1	4	2	2	2	135	377	136	38	91.869347	MACINATO
5	1	4	2	2	3	272	386	65	27	73.516388	250G
5	1	4	2	2	4	421	381	190	33	0.000000	;\\(\’‘’._’1’.
5	1	4	2	2	5	637	386	59	22	64.389191	3,79.
5	1	4	2	2	6	778	385	65	23	90.752693	3,79
4	1	4	2	3	0	41	413	797	33	-1	
5	1	4	2	3	1	40	413	62	32	89.948090	OLIO
5	1	4	2	3	2	119	412	104	27	83.080658	EXTRAV.
5	1	4	2	3	3	246	411	28	30	86.867577	1L
5	1	4	2	3	4	368	413	105	30	36.202560	en
5	1	4	2	3	5	541	413	62	33	42.696117	10
5	1	4	2	3	6	637	415	59	27	47.712196	7,90
5	1	4	2	3	7	763	413	75	29	42.911663	7,90
4	1	4	2	4	0	35	443	802	56	-1	
5	1	4	2	4	1	35	443	83	50	96.096100	PASTA
5	1	4	2	4	2	135	453	76	46	90.590706	PENNE
5	1	4	2	4	3	230	453	60	38	42.481415	5006.
5	1	4	2	4	4	360	449	99	32	14.876099	.-_—;‘’..
5	1	4	2	4	5	514	459	2	2	31.010223	©
5	1	4	2	4	6	551	454	34	19	48.778008	‘4.
5	1	4	2	4	7	636	452	86	24	50.902409	0,89.
5	1	4	2	4	8	778	453	59	23	90.671616	3,56
4	1	4	2	5	0	38	501	799	63	-1	
5	1	4	2	5	1	38	508	95	55	96.941162	TOTALE
5	1	4	2	5	2	151	501	181	63	79.941063	COMPLESSIVO.
5	1	4	2	5	3	341	515	46	27	72.013191	Li
5	1	4	2	5	4	582	515	82	25	17.342972	CE
5	1	4	2	5	5	760	517	77	34	96.614265	32,02
2	1	5	0	0	0	30	558	321	65	-1	
3	1	5	1	0	0	30	558	321	65	-1	
4	1	5	1	1	0	30	558	321	65	-1	
5	1	5	1	1	1	30	616	2	2	0.000000	;
5	1	5	1	1	2	40	563	170	58	94.833153	ARRIVEDERCI
5	1	5	1	1	3	220	575	22	34	59.006001	‘E
5	1	5	1	1	4	244	566	3	2	47.002968	|
5	1	5	1	1	5	261	558	90	65	61.305389	GRAZIE
